class,Elevation,Ndvi,slope,soil,spi,dfr,lulc,twi,rain
1,0,0,0.26,0.06,0.64,0.52,0.44,0.21,0.54
1,0.02,0.32,0.03,0.06,0,0.71,0.15,0.26,0.18
0,0.8,0.29,0.19,0.05,0.54,0.18,0.61,0.15,0.18
1,0.11,0.5,0.44,0.12,0.59,0.71,0.15,0.06,0.29
1,0.02,0.21,0.09,0.06,0.69,0.14,0.15,0.47,0.11
1,0.11,0.21,0.18,0.06,0.74,0.38,0.5,0.41,0.59
0,0.38,0.36,0.36,0.46,0.78,0.67,0.88,0.35,0.23
0,0.42,0.21,0.31,0,0.73,0.71,1,0.31,0.2
1,0.02,0.43,0.05,0.06,0.04,0,0.15,0.2,0.27
1,0.08,0.29,0.04,0.46,0.89,0,0.15,0.41,0.35
0,0.51,0.46,0.18,0.46,0.71,0,0.6,0.38,0.27
0,0.85,0.46,0.22,0.05,0.55,0.02,0.61,0.13,0.21
1,0.1,0.5,0.03,0.16,0.75,0,0.89,0.64,0.36
0,0.33,0.29,0.26,0.07,0.13,0.43,0.61,0.05,0.24
1,0.04,0.64,0.19,0.01,0.54,0.14,0.03,0.15,0.38
0,0.34,0.71,0.53,1,0.6,0.71,0.75,0.04,0.31
1,0.09,0.57,0,0.46,0.86,0,0.15,1,0.29
1,0.07,0.46,0.09,0.46,0.83,0,0.15,0.71,0.41
0,0.82,0.18,1,0.46,0.69,1,0.61,0,0.17
0,0.37,0.5,0.07,0.29,0.05,0.39,0.3,0.18,0.14
1,0.1,0.39,0.16,0.12,0.1,0.43,0.15,0.1,0.29
0,0.33,0.68,0.34,0.98,0.69,1,0.82,0.22,0.43
0,0.8,1,0.69,0.46,0.69,0.43,0.61,0.08,0.11
1,0.03,0.57,0.02,0.12,0.49,0.14,0.14,0.39,0.64
1,0.02,0.43,0.04,0.06,0.02,0.43,0.15,0.22,0.09
0,0.46,0.39,0.66,0.14,0.68,1,0,0.09,0.27
1,0.02,0.93,0.09,0.06,0.64,0.43,0.91,0.41,0.14
0,0.39,0.21,0.1,0.46,0.69,0.02,0.54,0.47,0.15
1,0.03,0.36,0.02,0.12,0.92,0,0.15,1,0.62
1,0.04,0.21,0.06,0.06,0.52,0.02,0.15,0.3,0.25
1,0.05,0.86,0.17,0.06,0.58,0.39,0.44,0.2,0.32
0,0.4,0.32,0.03,0.46,0.01,0.43,0.54,0.25,0.13
1,0.13,0.39,0.34,1,0.71,0.43,0.15,0.26,0.47
1,0.08,0.93,0.11,0.06,0.08,0.14,1,0.13,0.21
0,0.53,0.64,0.16,0.02,0.57,1,0,0.21,0.19
1,0.06,0.39,0.03,0,0,0.99,0.15,0.26,0.98
0,0.41,0.21,0.09,0.02,0.59,0.43,0.54,0.34,0.06
1,0.09,0.43,0.06,0.29,0.48,0,1,0.26,0.34
0,0.34,0.61,0.22,0.46,0.11,0.1,1,0.06,0.19
1,0.01,0.11,0.07,0,0.55,0.38,0.15,0.32,0.08
0,0.94,0.04,0.4,0.1,0.15,1,0.61,0,0.25
0,0.47,0.46,0.06,0.02,0.67,0.15,0,0.5,0.13
0,0.39,0.61,0.2,1,0.7,0,0.8,0.34,0.31
0,0.48,0.32,0.1,0.46,0.07,0.1,1,0.14,0.12
0,0.46,0.14,0.67,0.14,0.62,0.39,0.61,0.01,0.25
0,0.33,0.18,0.46,1,0.59,0.71,0.88,0.06,0.28
1,0.08,0.54,0.07,0.46,0.05,0.12,0.15,0.18,0.57
1,0.05,0.32,0.12,0.12,0.51,0,0.15,0.19,0.16
1,0.24,0.93,0.23,1,0.12,1,0.8,0.06,0.28
1,0.16,0.43,0.24,0.12,0.6,0.12,0.15,0.17,0.52
0,0.42,0.82,0.37,1,0.87,0,0.8,0.49,0.33
0,0.32,0.64,0.29,0.03,0.63,0.12,1,0.18,0.35
1,0.04,0.21,0.1,0.12,0.07,0.72,0.15,0.14,0.01
1,0.06,0.96,0.17,0.05,0.1,0.19,0.81,0.09,0.23
1,0.1,0.54,0.23,0.12,0.55,0.02,0.15,0.13,0.44
0,0.93,0.25,0.4,0.05,0.78,0,0.61,0.32,0.22
1,0.11,0.57,0.26,1,0.13,0,0.79,0.05,0.36
0,0.46,0.18,0.11,0.46,0.63,0,0.61,0.35,0.26
1,0.04,0.21,0.17,0.07,0.1,0.43,0.15,0.09,1
0,0.57,0.5,0.29,0.29,0.74,0.39,1,0.33,0.25
1,0.02,0.04,0.12,1,0.08,0,0.88,0.13,0.13
0,0.18,0.82,0.62,0.12,0.65,0.75,0.63,0.07,0.28
1,0.08,0.29,0.19,0.16,1,0,0.89,0.29,0
0,0.35,0.32,0.17,0.03,0.68,0.12,1,0.33,0.34
0,1,0.21,0.24,0.05,0.66,0.67,0.61,0.26,0.26
1,0.07,0.39,0.03,0.46,0.01,0.48,0.15,0.25,0.57
1,0.07,0.5,0.17,0.06,0.73,0.14,0.15,0.4,0.83
1,0.12,0.54,0.06,0.46,0.04,0.43,0.15,0.19,0.34
0,0.9,0.32,0.03,0.05,0,0.34,0.61,0.26,0.23
1,0.19,0.82,0.11,1,0.07,0.76,0.89,0.13,0.37
0,0.32,0.5,0.78,0.46,0.67,0.67,1,0.04,0.34
0,0.73,0.04,0.3,0.14,0.13,0.71,0.61,0.03,0.26
0,0.38,0.61,0.1,0.29,0.59,0.14,0.3,0.3,0.08
1,0.06,0.21,0.18,0.06,0.61,0.12,0.15,0.22,0.43
1,0.06,0.61,0.04,0.12,0.45,0,0.15,0.31,0.77
0,0.43,0.96,0.17,0.14,0.1,1,0,0.09,0.17
0,0.45,0.43,0.11,0.54,0.07,1,0.88,0.14,0.33
0,0.36,0.18,0.43,0.14,0.79,0.71,0.61,0.33,0.23
0,0.51,0.89,0.58,1,0.61,0.71,0.8,0.03,0.29
0,0.37,0.18,0.11,0.29,0.9,0,0.61,0.76,0.31
